Episode,Agent 0 Reward,Agent 1 Reward
1,0.0,-0.009999999776482582
2,0.0,-0.009999999776482582
3,0.0,-0.009999999776482582
4,0.0,-0.009999999776482582
5,0.0,-0.009999999776482582
6,-0.009999999776482582,0.0
7,0.0,-0.009999999776482582
8,-0.009999999776482582,0.0
9,0.0,-0.009999999776482582
10,0.0,-0.009999999776482582
11,0.0,-0.009999999776482582
12,0.0,-0.009999999776482582
13,0.0,-0.009999999776482582
14,0.0,-0.009999999776482582
15,0.0,-0.009999999776482582
16,0.0,-0.009999999776482582
17,-0.009999999776482582,0.0
18,-0.009999999776482582,0.0
19,-0.009999999776482582,0.0
20,-0.009999999776482582,0.0
21,0.0,-0.009999999776482582
22,0.0,-0.009999999776482582
23,0.0,-0.009999999776482582
24,0.0,-0.009999999776482582
25,-0.009999999776482582,0.0
26,0.0,-0.009999999776482582
27,0.0,-0.009999999776482582
28,0.0,-0.009999999776482582
29,0.0,-0.009999999776482582
30,0.0,-0.009999999776482582
31,-0.009999999776482582,0.0
32,0.0,-0.009999999776482582
33,0.0,-0.009999999776482582
34,-0.009999999776482582,0.0
35,-0.009999999776482582,0.0
36,0.0,-0.009999999776482582
37,0.0,-0.009999999776482582
38,-0.009999999776482582,0.0
39,0.0,-0.009999999776482582
40,0.0,-0.009999999776482582
41,-0.009999999776482582,0.0
42,-0.009999999776482582,0.0
43,0.0,-0.009999999776482582
44,0.0,-0.009999999776482582
45,0.0,-0.009999999776482582
46,-0.009999999776482582,0.0
47,-0.009999999776482582,0.0
48,0.0,-0.009999999776482582
49,0.0,-0.009999999776482582
50,-0.009999999776482582,0.0
51,0.0,-0.009999999776482582
52,0.0,-0.009999999776482582
53,0.0,-0.009999999776482582
54,0.0,-0.009999999776482582
55,-0.009999999776482582,0.0
56,0.0,-0.009999999776482582
57,-0.009999999776482582,0.0
58,0.0,-0.009999999776482582
59,0.0,-0.009999999776482582
60,0.0,-0.009999999776482582
61,-0.009999999776482582,0.0
62,0.0,-0.009999999776482582
63,0.0,-0.009999999776482582
64,-0.009999999776482582,0.0
65,-0.009999999776482582,0.0
66,0.0,-0.009999999776482582
67,0.0,-0.009999999776482582
68,0.0,-0.009999999776482582
69,-0.009999999776482582,0.0
70,-0.009999999776482582,0.0
71,-0.009999999776482582,0.0
72,-0.009999999776482582,0.0
73,-0.009999999776482582,0.0
74,0.0,-0.009999999776482582
75,-0.009999999776482582,0.0
76,0.0,-0.009999999776482582
77,-0.009999999776482582,0.0
78,0.0,-0.009999999776482582
79,-0.009999999776482582,0.0
80,-0.009999999776482582,0.0
81,0.0,-0.009999999776482582
82,0.0,-0.009999999776482582
83,0.0,-0.009999999776482582
84,0.0,-0.009999999776482582
85,-0.009999999776482582,0.0
86,0.0,-0.009999999776482582
87,0.0,-0.009999999776482582
88,0.0,-0.009999999776482582
89,0.0,-0.009999999776482582
90,0.0,-0.009999999776482582
91,0.0,-0.009999999776482582
92,-0.009999999776482582,0.0
93,-0.009999999776482582,0.0
94,0.0,-0.009999999776482582
95,-0.009999999776482582,0.0
96,0.0,-0.009999999776482582
97,-0.009999999776482582,0.0
98,0.0,-0.009999999776482582
99,0.0,-0.009999999776482582
100,0.0,-0.009999999776482582
101,0.0,-0.009999999776482582
102,0.10000000149011612,-0.009999999776482582
103,0.0,-0.009999999776482582
104,0.0,-0.009999999776482582
105,-0.009999999776482582,0.0
106,-0.009999999776482582,0.0
107,0.0,-0.009999999776482582
108,0.0,-0.009999999776482582
109,0.0,-0.009999999776482582
110,-0.009999999776482582,0.0
111,0.0,-0.009999999776482582
112,-0.009999999776482582,0.0
113,0.0,-0.009999999776482582
114,-0.009999999776482582,0.0
115,0.0,-0.009999999776482582
116,-0.009999999776482582,0.0
117,0.0,-0.009999999776482582
118,-0.009999999776482582,0.0
119,0.0,-0.009999999776482582
120,0.0,-0.009999999776482582
121,-0.009999999776482582,0.0
122,0.0,-0.009999999776482582
123,-0.009999999776482582,0.0
124,0.0,-0.009999999776482582
125,-0.009999999776482582,0.0
126,-0.009999999776482582,0.0
127,0.0,-0.009999999776482582
128,-0.009999999776482582,0.0
129,-0.009999999776482582,0.0
130,0.0,-0.009999999776482582
131,0.0,-0.009999999776482582
132,-0.009999999776482582,0.0
133,0.0,-0.009999999776482582
134,0.0,-0.009999999776482582
135,0.0,-0.009999999776482582
136,-0.009999999776482582,0.0
137,-0.009999999776482582,0.0
138,-0.009999999776482582,0.0
139,0.0,-0.009999999776482582
140,0.0,-0.009999999776482582
141,-0.009999999776482582,0.0
142,-0.009999999776482582,0.0
143,0.0,-0.009999999776482582
144,0.0,-0.009999999776482582
145,-0.009999999776482582,0.0
146,0.0,-0.009999999776482582
147,0.0,-0.009999999776482582
148,0.09000000357627869,0.0
149,0.0,-0.009999999776482582
150,-0.009999999776482582,0.0
151,0.0,-0.009999999776482582
152,-0.009999999776482582,0.0
153,-0.009999999776482582,0.0
154,0.0,-0.009999999776482582
155,0.0,-0.009999999776482582
156,0.0,-0.009999999776482582
157,-0.009999999776482582,0.0
158,-0.009999999776482582,0.0
159,-0.009999999776482582,0.0
160,0.0,-0.009999999776482582
161,0.0,-0.009999999776482582
162,0.0,-0.009999999776482582
163,-0.009999999776482582,0.0
164,-0.009999999776482582,0.0
165,0.0,-0.009999999776482582
166,-0.009999999776482582,0.0
167,0.0,-0.009999999776482582
168,0.0,-0.009999999776482582
169,0.0,-0.009999999776482582
170,-0.009999999776482582,0.0
171,-0.009999999776482582,0.0
172,0.0,-0.009999999776482582
173,-0.009999999776482582,0.0
174,-0.009999999776482582,0.0
175,-0.009999999776482582,0.0
176,-0.009999999776482582,0.0
177,-0.009999999776482582,0.0
178,0.0,-0.009999999776482582
179,0.0,-0.009999999776482582
180,0.0,-0.009999999776482582
181,-0.009999999776482582,0.0
182,0.0,-0.009999999776482582
183,0.0,-0.009999999776482582
184,-0.009999999776482582,0.0
185,-0.009999999776482582,0.0
186,-0.009999999776482582,0.0
187,-0.009999999776482582,0.0
188,-0.009999999776482582,0.0
189,0.0,0.09000000357627869
190,0.0,-0.009999999776482582
191,0.0,-0.009999999776482582
192,-0.009999999776482582,0.0
193,0.0,-0.009999999776482582
194,0.0,-0.009999999776482582
195,-0.009999999776482582,0.0
196,0.0,-0.009999999776482582
197,0.0,-0.009999999776482582
198,-0.009999999776482582,0.0
199,0.0,-0.009999999776482582
200,0.0,-0.009999999776482582
